story,action_code1,action_code2,action_code3
للعميل بريد مرتد:Major customer now::Major customer now:Major customer :now:Major customer now,8,,
لم يتم استلام دفتر توفير مصرى ختم و:بصمه,,,
لم يتم استلام دفترختم وبصمه,,,
مصدر له بطاقة ائتمانية,26,25,
مطلوب تحديث بيانات العميل:مطلوب تحد:يث بيانات العميلللعميل بريدمرتد,88,,
مطلوب تحديث بيانات العميلللعميل بريد مرتد.,88,,
العميل متخده ضده اجراءات قضائيه,10,,
العميل يحمل ماستر كارد,,,
بطاقة ائتمان حد 3000 جم بضمان تحويل: الراتب .,26,25,
سداد تجاوز,,,
عدم السحب من منتج 544,1,32,
عدم السحب منتج 585 تمويل عقارى,1,32,
عدم منح اى مخالصات الا بعد الرجوع :الى ادارة التحصيل للبت فى امر المخا:لصة,,,
لا يتم السحب الا بتعليمات من النياب:ة الحسبية,1,32,
للعميل بريد مرتداخطار بوفاة العميل :من خلال بيانات الشركة المصرية للاست:علام الائتماني IScore,12,,
لم يتم استلام دفتر توفير ختم وبصمه:,,,
مطلوب تحديث:مطلوب تحديث بيانات العم:يلللعميل بريد مرتد,88,,
Please verify the details of the cu:stomer,88,,
الالتزام بعدم اصدار بطاقات بدل فاقد: او أي بطاقات جديدة الا بعد الرجوع :لإدارة مخاطر احتيال البطاقات .,,,
التوجه الى خدمة العملاء لتحديث البي:انات :مطلوب تحديث بيانات العميل,88,,
العميل متخذ ضده اجراء قضائى فى قرض :متناهى الصغر,10,,
العميل مصدر له بطاقة ائتمانية بدون :ضمان ويجب الرجوع لخدمة عملاء البطاق:ات قبل إلغاء أو تخفيض الوعاء الادخا:رى,26,25,
العميل مطلوب فى خدمة العملاء لتحديث: بياناته:مطلوب تحديث بيانات العميل,88,,
بطاقه ائتمانيه 10000,26,25,
تحديث بيانات:مطلوب تحديث بيانات الع:ميلللعميل بريد مرتد,88,,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة,10,41,32
تم اعدام المديونيه المستحقه للعميل :محاسبيا طبقا لقرار اللجنه بتاريخ 31:102023مع الاستمرار فى الاجراءات القانونيه:,10,41,
عدم اصدار كشوف حساب او اعاده تنشيط :اي حساب للعميل اومنح اي مخالصات او :ابرام الذمه ولا يتم التنازل عن الاج:راءات القانونية الا بعد الموافقة من: الادارة العامة للتحصي,10,41,
عدم السحب الا بعد سداد تجاوز الجارى: مدين,1,41,32
للعميل بريد مرتد.:مطلوب تحديث بيانا:ت العميل:مطلوب تحديث بيانات العميلللعميل بريد مرتد,88,,
مطلوب لخدمة العملاء لتحديث البيانات::مطلوب تحديث بيانات العميل,88,,
وفاهاخطار بوفاة العميل من خلال بيان:ات الشركة المصريه للاستعلام الائتما:نى ايسكور,12,,
1لا يتم الصرف الا بالرجوع الى فرع :السواقى,1,32,
Customer has 13 loans so far.:مطلوب: تحديث بيانات العميل,88,,
Major customer now:Major customer n:ow:Major customer now:مطلوب تحديث ب:يانات العميل,88,8,
الحضور لقسم خدمة العملاء لتحديث الب:يانات:مطلوب تحديث بيانات العميلللعميل بريد مرتد,88,,
العميل حاصل على تمويل عقاري,10,32,
العميل حاصل على كارت ائتمان,26,25,
العميل لديه بطاقه ائتمان,26,25,
العميل له محفظه قاهره كاش,30,,
العميل متوفىاخطار بوفاة العميل من خلال بيانات ا:لشركة المصرية للاستعلام الائتماني  :IScore,12,,
بريد مرتد122013للعميل بريد مرتد,,,
تم اتخاذ الاجراءات القانونيه للعميل: والكفيل,10,32,
سداد تجاوز جارى مدين بضمان الراتب,41,,
سداد حساب جارى مدين بضمان الراتب,41,,
شئون قانونية,10,,
عدم اجراء معاملات تجارية على الحساب: الشخصى,10,32,
عدم السحب العميل حاصل على قرض تمويل: عقارى,1,32,
عدم السحب لوفاه العميل,12,1,32
لا يتم الصرف الا بالرجوع الى فرع ال:سواقى قسم المشروعات,1,32,
لا يصرف الا باذن النيابة الحسبية,1,32,
لعميل له محفظه قاهره كاش في حاله رغ:به العميل بفتح حساب بالبنك يلزم است:يفاء نموذج 1ح ج,30,,
للعميل بريد مرتد.:مطلوب تحديث بيانا:ت العميلللعميل بريد مرتد,88,,
م منح العميل محفظة قاهرة كاش تجار ف:ى حالة رغبة العميل بفتح حساب يتم أس:تيفاء نموذج 1 ح ج,30,,
مطلوب تحديث البيانات:Major customer: now:Major customer now:Major custo:mer now:Major customer now:Major cu:stomer now:Major customer now:Major: customer now:Major customer now:Ma:jor customer now:Maj,88,8,
وفاه العميل و تم البلاغ عن طريق ال :iscore,12,,
:   اخطار بوفاة العميل من خلال ب:يانات الشركة المصرية للاستعلام الائ:تماني  IScore,12,,
0,,,
اخطار بوفاة العميل من خلال بيانات ا:لشركة المصرية للاستعلام الائتمانى  :iscoreحاله وفاه,12,,
التوجة لخدمة العملاء لتحديث البيانا:ت:مطلوب تحديث بيانات العميل:مطلوب ت:حديث بيانات العميل,88,,
الحضورلخدمة العملاءللاهمية:مطلوب تح:ديث بيانات العميل,,,
العميل حاصل على كارت ائتمانى,,,
العميل حاصل علي قرض تمويل عقاري,,,
العميل متوفى اخطار بوفاة العميل من خلال بيانات: الشركة المصرية للاستعلام الائتماني:  IScore,12,,
العميله لها خزينه حديديه طرف فرع ع:دلى .,27,,
بريد مرتد92013للعميل بريد مرتد,,,
تم اتخاذ الاجراءات القضائيه ضد العم:يل,10,,
تم اتخاذ الاجراات القانونيه ضد العم:يل,,,
تم ارسال المستندات للادارة القانوني:ة,,,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة وفقا لقرار مجل:س الادارة,10,41,
تم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار في الإجراء:ات القانونيه المتخذه بتاريخ 122019:,10,41,
حفظ مراسلات,,,
عدم اجراء معاملات تجارية على الحساب: الشخصى والفصل بين الحسابات الشخصية: والحسابات الاعتبارية,,,
عدم السحب الا باذن من النيابه الحسب:يه,1,32,
عدم السحب من حساب تمويل عقاري مع قب:ول ايداع,1,32,
عميل تمويل عقاري عدم السحب,1,32,
لا يتم السحب الا باذن النيابة الحسب:ية,1,32,
مطلوب تحديث بيانات العميل:مطلوب تحد:يث بيانات العميل:مطلوب تحديث بيانات: العميل:Major customer now:Major cu:stomer now,88,8,
مطلوب تحديث بيانات خع:مطلوب تحديث :بيانات العميل,88,,
وفاة العميلة,12,,
credit,,,
اخطار بوفاه العميل من خلال الشركه ا:لمصريه للاستعلام الائتمانى iscore,12,,
الرجوع لقسم القروض الصغيرة,,,
العميل حاصل على بطاقة ائتمانية مضمن:ة,26,25,
العميل حاصل على بطاقه ائتمانيه بحد :10000 ج م,26,25,
العميل حاصل على كارد ائتمانى,26,25,
العميل حاصل على محفظه القاهره كاش,30,,
العميل لديه بطاقة ائتمانية,26,25,
العميل لديه خزينه حديديه فرع طلخا,27,,
العميل متخذ ضده اجراءات قضائية فى ق:رض متناهى الصغر,10,,
العميل مطلوب لقسم خدمة العملاء لتحد:يث البيانات:مطلوب تحديث بيانات العم:يل:مطلوب تحديث بيانات العميل,88,,
العميل يحمل بطاقه ائتمانيه,26,25,
بطاقة ائتمان بحد 5000جم,,,
تعديل الرقم القومى,88,,
تم اخطار بوفاه العميل من خلال بيانا:ت الشركه المصرية الاستعلام الائتمان:ى I score,12,,
تم اعدام الدين محاسبيا,,,
تم اعدام المديونية المستحقة على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونية المتخذة بتاريخ 122020:,10,41,
حاصل على بطاقة ائتمانية,26,25,
حساب توفير دولار بدون دفتر,,,
ختم وبصمهللعميل بريد مرتد,10,11,
سداد تجاوز جارى مدين,,,
عميل تمويل عقارى ولايجوز السحب,1,32,
عميل خزن حديديه فرع سبورتنجللعميل بريد مرتد,27,,
عميل ديون معدومه محظور التعامل معه :من ادارة المعلومات الائتمانيه .عدم :اصدار كشوف حساب ومخالصات وشهادات اب:راء ذمه او التنازل عن الاجراءات الق:ضائية الا بعد الرجوع ل,41,,
قرض سيارة,,,
للعميل بريد مرتد92013للعميل بريد مرتد,,,
للعميل بريد مرتددللعميل بريد مرتد,,,
مجمد 3250 جم لجمعية الخدمات:مطلوب ت:حديث بيانات العميل:مطلوب تحديث بيان:ات العميل:مطلوب تحديث بيانات العميل:,88,63,
مطلوب أوراق فتح حساب كاملة لتحديث ا:لبيانات,88,,
مطلوب تحديث البيانات:مطلوب تحديث بي:انات العميل:مطلوب تحديث بيانات العم:يل:مطلوب تحديث بيانات العميل,88,,
مطلوب لخدمة العملاء للتحديث:مطلوب ت:حديث بيانات العميل,88,,
ممنوع السحب نهائيامنتج تمويل عقاري,1,32,
اخطار بوفاه العميل من خلال بيانات ا:لشركه المصرية للاستعلام الائتماني I:score,12,,
الحضورلخدمة العملاء للاهمية القصوى::مطلوب تحديث بيانات العميل,88,,
العميل ختم وبصمهللعميل بريد مرتد,,,
العميل متوفى و تم ابلاغنا عن طريق ا:لايسكور,12,,
العميل محول ش ق,,,
بريد مرتد032014,,,
بريد مرتد062013,,,
تم ارسال الملف للشئون القانونيه,,,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة بتاريخ 122018:,10,41,
علم بالوفاة من شركة الاستعلام الاتم:انى,12,,
عملاء تم اعدام مديونيتهم بقرار مجلس: الاداره مع الاستمرار في اتخاذ الاج:راءت القانوينه,10,41,
للعميل بريد مرتد  اخطار بوفاة العميل من خلال بيان:ات الشركة المصرية للاستعلام الائتما:ني  IScore,12,,
مطلوب تحديث البيانات:مطلوب تحديث بي:انات العميلللعميل بريد مرتد,88,,
مطلوب تحديث بيانات العميل:مطلوب تحد:يث بيانات العميلمرتد122013:مطلوب تحديث بيانات العم:يل,88,,
Customer has 1 loans so far.للعميل بريد مرتد,17,,
Customer has 2 loans so far.:,17,,
DIED,12,,
اخطار العميل من خلال بيانات الشركه :المصريه للاستعلام الاتئمانى iscore,10,32,
العميل لديه بطاقه ائتمانيه,26,25,
العميل لديه كارد ائتمان,26,25,
العميل مطلوب لقسم خدمة العملاء لتحد:يث بياناته:مطلوب تحديث بيانات العمي:لللعميل بريد مرتد,88,,
العميلة ختم و بصمة,10,11,
بلوغ سن الرشد:مطلوب تحديث بيانات ال:عميل:مطلوب تحديث بيانات العميل,88,8,
تم ارسال المستندات للشئون القانونيه:,10,32,
تم اعدام المديونية المستحقة على الع:ميل محاسبياً مع الاستمرار فى الإجرا:ءات القضائية المتخذة وفقاً لقرار مج:لس الأدارة بتاريخ 31102023,10,41,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة وفقا لقرار لجن:ه الاصول الخاصه,10,41,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة وفقا لقرار لجن:ه الاصول الخاصه بتاريخ 31102023,10,41,
تم اعدام المديونيه المستحقه علي الع:ميل محاسبيا مع الاستمرار في الاجراء:ات القانونيه المتخذه ووفقا لقرار مج:لس الاداره بتاريخ 122020,10,41,
حاصل على كارت ائتمانى,26,,
شؤون قانونيه 82023,10,,
عدم السحب من الحساب دفعه مقدمه تموي:ل عقارى,1,32,
عدم الصرف لوفاه العميل,12,1,32
عميل ماستر المطار,26,,
لا يتم الصرف الا بالرجوع الى فرع ال:سواقي,1,32,
مطلوب تحديث البيانات واستيفاء كارت :التوقيعات,88,,
مطلوب تحديث البياناتاخطار بوفاة الع:ميل من خلال بيانات الشركة المصريه ل:لاستعلام الائتمانى ايسكور,88,12,
مطلوب تحديث البياناتمستندات التحدي:ث طرف الادارة,88,,
مطلوب تحديث بيانات العميلالتوجه لخدمه العملاء لاستيفاء أوراق: فتح الحساب,88,,
اخطار بوفاة العميل خلال بيانات تالش:ركة المصريه للاستعلام الائتماني Is:core,12,,
اخطار بوفاة العميل من خلال بيانات ا:لشركة المصرية للاستعلام الائتماني  IScore,12,,
اخطار بوفاه العميل من بيانات الشركه: المصريه للاستعلام الائتمانى Iscor:e,12,,
الحضور لخدمة العملاء للاهمية:مطلوب :تحديث بيانات العميل,88,,
العميله مصدر لها ماستر تيتانيوم حده:ا 10000جم بضمان نقدى,26,25,
تحديث بيانات:مطلوب تحديث بيانات الع:ميل,88,,
تم اتخاذ الإجراءات القانونية ضد الع:ميل,10,32,
تم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونيه المتخذه,10,41,
تم اعدام المديونيه محاسبيا طبقا لمو:افقه مجلس الاداره بتاريخ 20122021: مع الاستمرار فى اتخاذ الاجراءات ال:قانونيه,10,41,
عدم السحب  تمويل عقاري,1,32,
عدم السحب للوفاه,12,1,32
عدم السحب من ح تمويل عقارى,1,32,
عدم السحب من حساب تمويل عقاري دفعه :مقدمه,1,32,
عميل MASTER   المطار,26,,
عميل ختم و بصمة,10,11,
عميل ماستر  المطارللعميل بريد مرتد,25,26,
مطلوب تحديث البيانات  اخطار بوفاة: العميل من خلال بيانات الشركة المصر:ية للاستعلام الائتماني  IScore   :,88,12,
نما الى علمنا وفاة العميل,12,,
Major customer now:مطلوب تحديث بيان:ات العميل:مطلوب تحديث بيانات العميل:,88,8,
اخطار بوفاة العميل من خلال الشركة ا:لمصرية للاستعلام الائتمانيIscore,12,,
اخطار بوفاة العميل من خلال بيانات ا:لشركة المصرية للاستعلام الائتمانى  :IScore,12,,
اعدام المديونيه محاسبيا بتاريخ 032:022 مع الاستمرار في الاجراءات القان:ونيه,10,41,
العميل حاصل علي بطاقه ائتمانيه 300:0جم,26,25,
العميل ختم  بصمه,10,11,
العميل ختم وبصمه طبقا لخطاب التعميم: 042018,10,11,
العميل محول لشئون قانونيه الرجاء ال:رجوع للمشروعات,10,32,
تم اتخاذ الإجراءات القانونية,10,32,
تم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القضائيه وفقا لقرار لجنه الاصول :الخاصه بتاريخ 15122021,10,41,
تم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار في الإجراء:ات القانونيه المتخذه بتاريخ 122019:.,10,41,
تم منح العميل محفظه القاهره كاش تجا:ر في حاله رغبه العميل بفتح حساب يلز:م استيفاء نموذج 1 ح ج,30,,
راجع القروض الصغيره,,,
عدم السحب الا بعد سداد المتأخرات,1,32,
عملاء تم اعدام مديونيتهم بقرار مجلس: الادارة 122021 مع الاستمرار فى ال:اجراءات القانونية,10,41,
عميل ديون معدومةالمنتزة,41,,
عميل فيزا  المطار,26,25,
عميل متوفي,12,,
قروض حكومه,,,
للعميل بريد مرتد  اخطار بوفاة العم:يل من خلال بيانات الشركة المصرية لل:استعلام الائتماني IScore,12,,
مجمد 6700 جم لجمعية الخدمات:مطلوب ت:حديث بيانات العميل:مطلوب تحديث بيان:ات العميل:مطلوب تحديث بيانات العميل:,88,63,
مرتد62014للعميل بريد مرتد,,,
مطلوب للتحديث,88,,
Customer has 12 loans so far.,17,,
Customer has 7 loans so far,17,,
اخطار بوفاة العميل من خلال بيانات ا:لشركة المصرية للاستعلام الائتمانى I:.scoure,12,,
الحضورلقسم خدمه العملاءلتحديث البيا:نات:مطلوب تحديث بيانات العميلللعميل بريد مرتد,88,,
العميل حاصل على بطاقة ائتمانية بضما:ن الراتب,26,25,
العميل متوفي طبقا لتقرير الايسكور,12,,
العميل محول الى الشئون القانونيه لع:دم سداد اقساط قرض المشروعات,10,32,
العميل محول للشئون القانونيه,10,32,
بعدم السحب او التعامل حتي يتم سداد :متاخرات القرض الشخصي,1,32,
تم إعدام المديونية المستحقة على ا:لعميل محاسبيا مع الأستمرار فى الأجر:اءات القانونية المتخذة وفقا لقرار م:جلس الادارة بتاريخ 31102022,10,41,
تم إعدام المديونية المستحقة على ال:عميل محاسبيا مع الأستمرار فى الأجرا:ءات القانونية المتخذة وفقا لقرار لج:نه الاصول الخاصه بتاريخ 15122021 :,10,41,
تم اعدام المديونيه المستحقه على الع:ميل مع الاستمرار ف الاجراءات القضائ:يه المتخذه وفقا لقرار مجلس الادراه :بتاريخ 31102023,10,41,
تم اعدام المديونيه المستحقه علي الع:ميل محاسبيا مع الاستمرار في الإجراء:ات القانونيه المتخذه وفقا لقرار مجل:س الاداره بتاريخ 30082021,10,41,
تم فتح محفظه قاهرة كاش تجار في حالة: رغبه العميل فتح حساب يتم استيفاء ن:موذج 1 ح ج,30,,
عدم إصدار مخالصات أو شهادات إبراء ذ:مة أو التنازل عن الإجراءات القضائية: إلا بعد الرجوع للإدارة العامة للتح:صيل  ومعالجة ديون التجزئة المصرفية,10,,
عدم السحب من تمويل عقارى,1,32,
عدم السحب من منتج544,1,32,
لايتم الصرف الا بقرار من النيابه ال:حسبيه,1,32,
للعميل بريد مرتد:مطلوب تحديث بيانات: العميل:Major customer now,88,8,
مطلوب تحديث بيانات العميل:Major cus:tomer now:Major customer now:Major :customer now:Major customer now:Maj:or customer now,88,8,
مطلوب للتحديث:مطلوب تحديث بيانات ال:عميل:مطلوب تحديث بيانات العميل:مطلو:ب تحديث بيانات العميل,88,,
:مطلوب تحديث بيانات العميلللعميل بريد مرتد,88,,
اخطار بوفاه العميل من خلال الشركه ا:لمصرية للاستعلام الائتمانى iscore,12,,
اخطار لوفاه العميل من خلال بيانات ا:لشركه المصريه للاستعلام الائتمانى,12,,
العميل حاصل على بطاقة ائتمانية بمبل:غ 5000جم,26,,
العميل ختم وبالصمه ولم يتم اصدار كا:رت ATM,10,11,
العميل قاصر لا يتم السحب الا بقرار :من النيابه الحسبيه,1,32,
العميل لديه خزينه حديديه,27,,
العميل لديه محفظة قاهره كاش افراد,30,,
العميل محال شؤن قانونيه,10,32,
العميل محول الى الشئون القانونيه,10,32,
العميل مطلوب لتحديث البيانات بخدمة :العملاء:مطلوب تحديث بيانات العميل,88,,
العميل مطلوب لخدمه العملاء للتحديث::مطلوب تحديث بيانات العميل:مطلوب تحد:يث بيانات العميلللعميل بريد مرتد,88,,
العميل والضامن متخذ ضدهم اجراءات قض:ائيه ولا يتم اصدار اي مخالصات الا ب:عد الرجوع لاداره المشروعات الصغيره,10,32,
العيل معدم محاسبيا وفقا لقرار مجلس :الاداره 2020 مع الاستمرار فى اتخاذا:لاجراءات القضائيه,10,41,
تم إعدام المديونية المستحقة على ا:لعميل محاسبيا مع الأستمرار فى الأجر:اءات القانونية المتخذة وفقا لقرار م:جلس الادارة بتاريخ 30032022,10,41,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة وفقا لقرار مجل:س الادارة بتاريخ 122018,10,41,
تم اعدام المديونية محاسبيا مع الاست:مرار فى الاجراءات القانونية مع عدم :اصدار كشوف حساب أو شهادات ابراء ذمة: أومخالصة الا بعد تمام السداديوجد مصاريف قضائية,10,41,
تم اعدام المديونيه المستحقه بتاريخ :12018 م,10,41,
تم فتح محفظه قاهرة كاش تجار في حالة: رغبه العميل فتح حساب بالبنك يتم اس:تيفاء نموذج 1 ح ج,30,,
ختم  بصمه,10,11,
سداد متأخرات,,,
ضامن تم إعدام المديونية المستحقة عل:ى العميل محاسبيا مع الأستمرار فى ال:أجراءات القانونية المتخذة بتاريخ 12:2019,10,41,
كشف حساب مرتد:مطلوب تحديث بيانات ال:عميل:مطلوب تحديث بيانات العميل,88,,
لا يتم السحب الا باذن من النيابة,1,32,
للعميل بريد مرتدتم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة وفقا لقرار لجن:ه الاصول الخاصه بتاريخ 15122021,10,41,
للعميل كشف حساب مرتد:مطلوب تحديث بي:انات العميل,88,,
مطلوب تحديث البياناتبريد مرتد,88,,
مطلوب تحديث بيانات العميل:Major cus:tomer now:Major customer now:Major :customer now:Major customer now:Maj:or customer now:Major customer now,88,8,
مطلوب تحديث بيانات العميل:مطلوب تحد:يث بيانات العميل:مطلوب تحديث بيانات: العميل استيفاء اقرار الموظفين لفرع: عدلى,88,,
مطلوب تحديث بيانات العميل:مطلوب تحد:يث بيانات العميل:مطلوب تحديث بيانات: العميل:Major customer nowللعميل بريد مرتد,88,8,
مطلوب تحديث حفظ المراسلات,88,,
مطلوب للتحديث:مطلوب تحديث بيانات ال:عميل:مطلوب تحديث بيانات العميلللعميل بريد مرتد,88,,
وفاه الزميل وفقا لافادة أيسكور,12,,
اخطار بوفاة العميل من خلال بيانات ا:لشركة المصرية للاستعلام الائتمانى I:.SCORE,12,,
أخطار بوفاة العميل من خلال بيانات ا:لشركة المصرية للاستعلام الائتمانى I:Score,12,,
اخطار بوفاةالعميل من خلال بيانات ال:شركة المصرية للاستعلام الائتمانيis:core,12,,
العميل ديون معدومة يحظر التعامل معه: او اصدار كشف حساب اوشهادات الا بعد: استيداء دين البنك,41,,
تحديث بيانات العميل,88,,
تحديث توكيل,88,,
تم اعدام الدين مع الاستمرار في الاج:راءات القانونيه,10,41,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة وفقا لقرار مجل:س الادارة بتاريخ 31102022لا يتم ط:باعه كشوف حساب لهم   ولا ي,10,41,
تم اعدام المديونيةالمستحقةعلى العمي:ل محاسبيامع الاستمرار فى للاجراءات :القانونيه المتخذة وفقا لقرار مجلس ا:لادارة بتاريخ 31102023,10,41,
تم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونيه المتخذه بتاريخ 012018:,10,41,
ضرورة الحضور الى قسم خدمة العملاء ل:تحديث البيانات:مطلوب تحديث بيانات ا:لعميلللعميل بريد مرتد,88,,
عد السحب نهائيا ـ تمويل عقارى,1,32,
عدم اصدار كشوف حساب  نهائياً للعميل: عدم إصدار مخالصات أو شهادات إبراء :ذمة أو التنازل عن الإجراءات القضائي:ة إلا بعد الرجوع للإدارة العامة للت:حصيل  ومعالجة ديون الت,10,,
عدم اصدار كشوف حساب اومخالصات او شه:ادات ابراء زمه اوالتناذل عن الاجراء:ات القضائه الابعد الرجوع للاداره ال:عامه للتحصيل ومعالجه الديون التجزيه:,10,,
عدم السحب نهائيا من منتج 544,1,32,
لا يتم الصرف الا باذن النيابه الحسب:يه,1,32,
للعميل بريد مرتد اخطار بوفاة العميل: من خلال بيانات الشركة المصرية للاس:تعلام الائتماني  IScore,12,,
للعميل بريدمرتد:مطلوب تحديث بيانات :العميل,88,,
مجمد توفير لصالح جمعية الخدمات,63,,
مطلوب تحديث البيانات  اخطار بوفاة :العميل من خلال بيانات الشركة المصري:ة للاستعلام الائتماني  IScore,88,12,
مطلوب تحديث البيانات مستندات التحد:يث طرف الادارة,88,,
مطلوب تحديث البيانات:Major customer: now:Major customer now:Major custo:mer now:Major customer now:Major cu:stomer now:Major customer now,88,8,
مطلوب تحديث بيانات العميل اخطار بوفاة العميل من خلال بيانات: الشركة المصرية للاستعلام الائتماني:  IScore,88,12,
مطلوب تحديث بيانات العميلللعميل بر:يد مرتد:مطلوب تحديث بيانات العميل,88,,
نما الى علمنا وفاه العميل,12,,
Customer has 1 loans so far.:,17,,
Major customer now:Major customer n:ow:Major customer nowللعميل بريد مرتد,8,,
اخطار بالوفاه عن طريق شركه الايسكور:,12,,
اخطار بوفاه العميل من خلال الشركه ا:لمصريه للاستعلام الائتماني iscore,12,,
الحضور لخدمة العملاء للاهمية:مطلوب :تحديث بيانات العميل:مطلوب تحديث بيا:نات العميل,88,,
العميل حاصل على بطاقة ائتمانية بضما:ن تحويل المرتب,26,25,
العميل حاصل على بطاقة ائتمانية.,10,11,
العميل ختم وبصمة.,10,11,
العميل ختم وبصمه بدون كارت,10,11,
العميل لديه بطاقه ائتمانيه بضمان او:عيه ادخاريه,26,25,
العميل لديه قاهره كاش,30,,
العميل لديه محفظه قاهرة كاش,30,,
العميل متوفى اخطار بوفاة العميل من :خلال بيانات الشركه المصريه للاستعلا:م الإئتماني IScore,12,,
العميلة متوفية,12,,
القاهره كاش,30,,
تجديد التوكيل,88,,
تم اتخاذ الاجراءات القانونيه ضد الع:ميل والكفيل فى 042023  تم إعدام ا:لمديونية المستحقة على العميل محاسبي:ا مع الأستمرار فى الأجراءات القانون:ية المتخذة وفقا لقرار مجل,10,32,41
تم ارسال مستندات التحديث للمركزية,88,,
تم إعدام المديونية المستحقة على الع:ميل محاسبياً مع الإستمرار في الإجرا:ءات القانونية المتخذة وفقاً لقرار م:جلس الإدارة بتاريخ 31102022,10,41,
تم إعدام المديونية محاسبيا مع الأست:مرار فى الأجراءات القانونية المتخذة: بقرار م الادارة بتاريخ 1212023ول:ا يتم طباعه كشوف حساب للعميل او الك:فيل   ولا يتم اصدار مخالصا,10,41,
تم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار في الإجراء:ات القانونيه المتخذه بتاريخ 122020:,10,41,
تم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار في الاجرات: القانونيه المتخذه وفقا لقرار لجنه :الأصول بتاريخ 15122021,10,41,
ختم وبصمةللعميل بريد مرتد,10,11,
عدم التعامل على الحساب للوفاه,12,,
عدم السحب من حساب تمويل عقاري مع ق:بول إيداع,1,32,
عميل اعدمت مديونيته وفقا لقرار مجلس: الإدارة بتاريخ 31102023,41,,
عميل فيزا المطار,26,25,
عميل قاهرة كاش,30,,
مطلوب تحديث البياناتmicro,88,16,
مطلوب تحديث البياناتاخطار بوفاة الع:ميل من خلال بيانات الشركة المصرية ل:لاستعلام الائتماني  IScore,88,,
مطلوب تحديث بيانات العميل.للعميل بريد مرتد.:مطلوب تحديث بيانا:ت العميل:مطلوب تحديث بيانات العميل,88,,
مطلوب تحديثه:مطلوب تحديث بيانات الع:ميل بريد مرتد,88,,
Customer has 2 loans so far.للعميل بريد مرتد,17,,
Major customer now:Major customer n:ow:Major customer now:Major custome:r now:Major customer now:Major cust:omer now:Major customer now:Major c:ustomer now:Major customer now,8,,
Qahera Cash,30,,
إعدام المديونية محاسبيا مع الأستمرا:ر فى الأجراءاتالقانونية المتخذة بقرار مجلس الادار:ة رقم 102022 بتاريخ 27112022ولا :يتم طباعه كشوف حساب للعميل والكفيل:ولا يتم اصدار,10,41,
اعدام محاسبى تم اتخاذ الاجراءات الق:انونيةعدم اصدار كشوف حساب او مخالصا:ت او ابراء ذمة او التنازل عن الاجرا:ءات القضائية دون الرجوع للادارة الع:امة للتحصيل ومعالجة ا,10,,
اعدام محاسبي طبقا لقرار المجلس 311:02022,10,41,
التوجة لخدمة العملاء للتحديث:مطلوب :تحديث بيانات العميل,88,,
العميل بلغ سن الرشد:مطلوب تحديث بيا:نات العميل:مطلوب تحديث بيانات العمي:ل:مطلوب تحديث بيانات العميل,88,8,
العميل حاصل علي بطاقة ائتمانيه بضما:ن تحويل الراتب,26,25,
العميل حاصل علي بطاقه ائتمانيه غير :مضمنه 3000جم,26,25,
العميل لديه محفظة قاهرة كاش افراد,30,,
"العميل متخذ ضده إجراءات قانونيه،عدم: اصدار ك حساب  نهائياً ،عدم إصدار م:خالصات أو شهادات إبراء ذمة أو التنا:زل عن الإجراءات القضائية إلا بعد ال:رجوع للإدارة العامة لل",10,,
العميل متوقى تم الالبلاغ عن طريق IS:CORE,12,,
العميل محول شئون قانونية خطاب رقم 1:08 بتاريخ 28082023.,10,32,
العميل مطلوب تحديث بياناته:مطلوب تح:ديث بيانات العميل,88,,
العميل مطلوب فى خدمه العملاء لتحديث: البيانات:مطلوب تحديث بيانات العميل:,88,,
العميــل مطلوب للتحديـــث:مطلوب تحد:يث بيانات العميل,88,,
العميله تتعامل علي الحساب بختم وبصم:ه,10,11,
العميله ختم وباصمه,10,11,
بريد مرتد:Major customer now,8,,
تحديث بيانات فرع القوصيه,88,,
